pdbid,ring_count
pdb4bui,0
pdb6bqp,0
pdb2bu9,0
pdb3bmc,3
pdb5bjz,0
pdb2bns,1
pdb1bya,0
pdb6bw2,5
pdb3c1q,0
pdb5bvu,0
pdb1m6y,0
pdb5mhj,15
pdb2bxg,1
pdb1bzc,2
pdb3btg,0
pdb5boe,0
pdb2bs0,18
pdb3bb2,0
pdb2bdt,0
pdb1bcr,0
pdb2bgd,3
pdb3bkm,0
pdb3bac,0
pdb3ble,0
pdb1bru,0
pdb1biu,0
pdb4bi4,0
pdb4bfu,3
pdb2bh1,0
pdb4bqd,0
pdb5bpm,0
pdb2bm5,0
pdb3bh7,2
pdb4bj0,0
pdb4bpm,3
pdb6blg,0
pdb6bqy,0
pdb6bgv,0
pdb1bf4,13
pdb2biy,0
pdb4bku,3
pdb2bcz,26
pdb2beh,0
pdb4bqm,0
pdb6bpv,0
pdb4bhg,0
pdb1bdm,2
pdb2bw9,4
pdb1bpx,15
pdb6bd4,0
pdb5brb,0
pdb2bpx,3
pdb1bnt,0
pdb4blk,4
pdb4bvn,2
pdb6bcc,2
pdb3bgi,2
pdb6bmb,0
pdb6bml,0
pdb3bq8,0
pdb3bem,0
pdb4brf,0
pdb5bqi,0
pdb2bjr,0
pdb4bag,0
pdb3bdz,5
pdb3bp7,0
pdb4bgo,0
pdb2bfc,2
pdb4bwu,0
pdb2bqb,0
pdb4bna,17
pdb4btm,0
pdb4bet,0
pdb1bpm,0
pdb5bqs,0
pdb2bt1,1
pdb6bi8,0
pdb3bfk,0
pdb3bxd,0
pdb3bvg,0
pdb2bwi,0
pdb1bvd,3
pdb2bvj,4
pdb5bup,0
pdb6bv6,0
pdb5bwt,1
pdb6bol,0
pdb3br9,2
pdb3bwg,0
pdb4bmn,0
pdb3c0q,0
pdb5btp,0
pdb1bg1,24
pdb3bl5,0
pdb1bx8,0
pdb4bsc,0
pdb3box,0
pdb2by7,0
pdb1bnk,20
pdb5bsy,0
pdb4bo7,3
pdb1bq4,0
pdb2bop,0
pdb5bo5,0
pdb5bsj,0
pdb5buy,0
pdb6bkm,0
pdb4but,0
pdb6bnd,0
pdb4bvw,1
pdb6by8,0
pdb2br3,0
pdb3byo,0
pdb3byc,0
pdb3bt7,26
pdb3bs8,1
pdb6bz2,0
pdb3bqh,0
pdb2bzi,5
pdb3ce4,0
pdb2cbg,1
pdb6c5k,0
pdb6cc0,0
pdb5cel,0
pdb2c1v,4
pdb4cc5,0
pdb1c4v,0
pdb4ca8,0
pdb3c43,0
pdb4cee,0
pdb6cb2,0
pdb6c69,0
pdb3c6u,4
pdb4cfr,0
pdb1cg5,4
pdb6c4t,2
pdb4c24,0
pdb5c5c,0
pdb4cdx,0
pdb3c71,0
pdb4c80,2
pdb3c3x,2
pdb6c28,3
pdb6c7m,0
pdb6cbj,0
pdb6ccf,0
pdb1bzm,1
pdb3c0z,0
pdb4bwl,0
pdb6bx6,3
pdb6bsv,1
pdb4bzx,0
pdb4bl9,0
pdb5by0,0
pdb4bc7,0
pdb6brt,0
pdb4br5,0
pdb2bry,0
pdb3bn4,0
pdb3bm3,17
pdb1bt4,1
pdb4bxv,0
pdb2c0u,5
pdb5bxu,0
pdb2bx7,0
pdb2bui,0
pdb1bua,2
pdb5bz6,0
pdb1bos,0
pdb4bz0,0
pdb1c0a,0
pdb4cd4,0
pdb6blq,0
pdb5brn,0
pdb3bxm,0
pdb1cca,5
pdb1c1o,0
pdb6c4k,0
pdb4c0w,2
pdb5c11,0
pdb6c02,0
pdb1c1e,0
pdb1c5z,0
pdb3c59,0
pdb3c32,0
pdb6c2n,0
pdb4c78,0
pdb5c33,0
pdb1c8z,0
pdb5c12,0
pdb5c5m,1
pdb6c5m,0
pdb5ccu,0
pdb4cd5,0
pdb5c34,0
pdb6c1j,0
pdb6c0d,0
pdb2c4s,0
pdb1c8c,11
pdb5c7h,2
pdb6c6o,0
pdb5c4c,1
pdb5c28,0
pdb4c5x,0
pdb5c7g,0
pdb4cb6,2
pdb5cay,0
pdb3c72,0
pdb1c2h,0
pdb6c76,0
pdb1c3n,0
pdb2c6k,3
pdb5c05,0
pdb1cag,0
pdb6cc3,0
pdb4c37,3
pdb3c8m,0
pdb4c9z,0
pdb6c39,0
pdb2c2p,0
pdb4c4e,0
pdb6c3i,0
pdb1cen,0
pdb2c1l,0
pdb1c5q,2
pdb1c5r,0
pdb3c1r,0
pdb5cc9,3
pdb6c1a,16
pdb3c7t,0
pdb3c9s,0
pdb3cdr,0
pdb5c20,2
pdb3c3y,2
pdb6c6n,0
pdb5cdl,0
pdb2c98,2
pdb1cad,0
pdb5c6i,0
pdb6c19,2
pdb6cg7,0
pdb2cff,0
pdb2chp,0
pdb2cek,0
pdb4cdb,0
pdb4ccz,2
pdb1cet,2
pdb3cf9,1
pdb1c2i,0
pdb2c6z,0
pdb4c7i,2
pdb2cgn,0
pdb1cie,0
pdb1c3w,0
pdb4caq,0
pdb3cc7,184
pdb6c8c,3
pdb4ch8,0
pdb5cec,0
pdb5cba,0
pdb6cdh,0
pdb2c5x,4
